"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"355826670927749120","","","","","2013-07-12 23:11:03 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Knockout v2.3.0 released; v3.0.0 beta available - Steve Sanderson’s blog - As seen on YouTube™ http://t.co/STkqWbKM21","http://buff.ly/12x7fNG"
"355751124306898945","","","","","2013-07-12 18:10:52 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Mira, actúa: http://t.co/1X2DcrYW00","http://deliktum.com/#zona/-0.2167,-78.5111/13/5/0"
"355464287688458240","","","","","2013-07-11 23:11:05 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Revealed: how Microsoft handed the NSA access to encrypted messages http://t.co/crlKmS4Dzq","http://buff.ly/18QcyQP"
"355433908441071616","","","","","2013-07-11 21:10:22 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","My Open Source Report Card http://t.co/wR735xgvdf (nice project by analyzing the github data, very accurate too)","http://buff.ly/18QbDjo"
"355401671477702656","","","355367131786919937","1671811","2013-07-11 19:02:16 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","RT @paul_irish: Responsive Screenshots With Casper http://t.co/YI5J9TaGc6 Just tried this out; fantastic. http://t.co/sC3D3qQxkn","http://net.tutsplus.com/tutorials/javascript-ajax/responsive-screenshots-with-casper/","http://twitter.com/paul_irish/status/355367131786919937/photo/1"
"354634570961928192","","","","","2013-07-09 16:14:05 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Two new Facebook ad units you must start using. http://t.co/6me1hQjAUc","http://buff.ly/12oK4VL"
"354210882651303936","","","354077202553372672","9980812","2013-07-08 12:10:30 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @igrigorik: for Vim fans.. vim-airline: http://t.co/QwyIZIrIn0 - nice statusline implementation!","http://bit.ly/1aQScaN"
"354065306655793153","","","353312676400738304","26658319","2013-07-08 02:32:02 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @rioter: Starting to realise that if a company asks you to see your open source contributions. You better damn well ask to see theirs."
"353199635340337158","","","","","2013-07-05 17:12:09 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Five Patterns to Help You Tame Asynchronous JavaScript http://t.co/KOaXT3kK1W","http://buff.ly/1cZkb4F"
"352804096534777856","","","","","2013-07-04 15:00:26 +0000","web","Happy July 4th!"
